date,eid,cid,rate
2022-04-05 22:00:00,3,ADA,1.140001
2022-04-05 22:00:00,4,ADA,1.141746
2022-04-05 22:00:00,5,ADA,1.1395
2022-04-05 22:00:00,1,DOT,21.43
2022-04-05 22:00:00,2,DOT,21.47
2022-04-05 22:00:00,3,DOT,21.4391
2022-04-05 22:00:00,4,DOT,21.4529
2022-04-05 22:00:00,5,DOT,21.445
2022-04-06 00:00:00,1,BTC,45243.53
2022-04-06 00:00:00,2,BTC,45178.21
2022-04-06 00:00:00,3,BTC,45244.84
2022-04-06 00:00:00,4,BTC,45235
2022-04-06 00:00:00,5,BTC,45256
2022-04-06 00:00:00,1,ETH,3343.73
2022-04-06 00:00:00,2,ETH,3339.73
2022-04-06 00:00:00,3,ETH,3343.81
2022-04-06 00:00:00,4,ETH,3341.01
2022-04-06 00:00:00,5,ETH,3344.3
2022-04-06 00:00:00,1,LTC,120.1
2022-04-06 00:00:00,2,LTC,119.98
2022-04-06 00:00:00,3,LTC,120.08
2022-04-06 00:00:00,4,LTC,120.08
2022-04-06 00:00:00,5,LTC,120.045
2022-04-06 00:00:00,1,LUNA,116.86
2022-04-06 00:00:00,2,LUNA,116.68
2022-04-06 00:00:00,3,LUNA,116.8377
2022-04-06 00:00:00,4,LUNA,116.65
2022-04-06 00:00:00,5,LUNA,116.82
2022-04-06 00:00:00,1,ADA,1.139
2022-04-06 00:00:00,2,ADA,1.139
2022-04-06 00:00:00,3,ADA,1.139763
2022-04-06 00:00:00,4,ADA,1.139408
2022-04-06 00:00:00,5,ADA,1.13922
2022-04-06 00:00:00,1,DOT,21.49
2022-04-06 00:00:00,2,DOT,21.47
2022-04-06 00:00:00,3,DOT,21.4861
2022-04-06 00:00:00,4,DOT,21.4653
2022-04-06 00:00:00,5,DOT,21.455
2022-04-06 01:00:00,1,BTC,45333.23
2022-04-06 01:00:00,2,BTC,45354.44
2022-04-06 01:00:00,3,BTC,45330.2
2022-04-06 01:00:00,4,BTC,45351.6
2022-04-06 01:00:00,5,BTC,45342
2022-04-06 01:00:00,1,ETH,3359.98
